ROI,X,Y,T,Contour,Max. Feret diam.,Elongation ratio,Avg. ch 0
22157,512.6363636364,614.6818181818,137,17.2279220614,5.3851648071,1.3676108265,76.4090909091
22158,409,610.5,137,16.713708499,5.3851648071,1.2416485604,60.8461538462
22159,694.2173913043,606.9130434783,137,16.9708152802,5.0990195136,1.1835188632,59.6956521739
22160,199.3846153846,612.3846153846,137,11.6994949366,3.6055512755,1.1951767897,59.3076923077
22161,467.6153846154,610.6153846154,137,11.6994949366,3.6055512755,1.1951767897,71.9230769231
22162,540.8918918919,600.8918918919,137,33.2987373415,12.2065556157,1.7862658989,86.2027027027
22163,494.1363636364,598.5454545455,137,16.8421356237,5.3851648071,1.3111505259,70.7727272727
22164,673.3529411765,606.5294117647,137,14.5281745931,4.472135955,1.2490385137,53.8823529412
22165,396.6842105263,606.4210526316,137,14.913708499,5.3851648071,1.6997590387,62.1052631579
22166,636.1182795699,599.9462365591,137,43.841125497,15.1327459504,2.0916351134,90.0860215054
22167,513.9090909091,591.9090909091,137,15.2994949366,5,1.1124579589,72.0909090909
22168,185,596,137,3.1415926536,0,0,58
22169,578,596.619047619,137,16.5852813742,5,1.0976046759,56.6666666667
22170,645.7333333333,589.3,137,20.4421356237,7.6157731059,1.8126877117,85.7333333333
22171,676.6060606061,585.4848484848,137,21.7279220614,7.0710678119,1.3410320121,59.4242424242
22172,179.4074074074,592.5555555556,137,18.8992424049,5.8309518948,1.0900170225,66.037037037
22173,626,588,137,3.1415926536,0,0,72
22174,367.5,572.5,137,5.6568542495,1.4142135624,0,73
22175,661.3529411765,579.7450980392,137,26.3560966544,9.4339811321,1.6795397935,77.3529411765
22176,187,578,137,3.1415926536,0,0,73
22177,341,578.25,137,7.8426406871,2,0,58.75
22178,610,564,137,3.1415926536,0,0,53
22179,215.4,571.04,137,16.9708152802,5.3851648071,1.2087120864,55.16
22180,169.1578947368,571.5263157895,137,15.2994949366,5.3851648071,1.6610588656,63.8421052632
22181,183,571,137,9.2568542495,2.8284271247,1,69.8888888889
22182,356,557.5,137,7.4568542495,2.2360679775,0,60.6666666667
22183,193.5,558.5,137,5.6568542495,1.4142135624,0,60.5
22184,540,558,137,3.1415926536,0,0,68
22185,375,564,137,14.913708499,4.472135955,1,73.0952380952
22186,590,552.5,137,5.1415926536,1,0,63
22187,518.875,555.875,137,8.8710678119,2.8284271247,1.209896735,82
